시도	시군구	읍면동	주택유형	단지명	소재지	입주시기	총세대수	매매시세(3.3㎡)	분양가(3.3㎡)	시공사	lon	lat
부산	북구	구포동	아파트	구포윤창비에이치타운	부산 북구 구포동 452	2018-12	182	786	894	(주)윤창종합건설	129.0013971368792	35.20760724251203
부산	부산진구	개금동	아파트	개금역스마트W	부산 부산진구 개금동 451-12	2016-10	224	922	892	(주)경성리츠	129.0173719871141	35.15262314967435
부산	영도구	동삼동	아파트	롯데캐슬블루오션	부산 영도구 동삼동 1189	2017-08	381	1166	891	롯데건설(주)	129.07354526230637	35.07268730900802
부산	강서구	명지동	아파트	중흥S클래스에듀오션	부산 강서구 명지동 3350	2018-02	750	1423	891	중흥건설(주)	128.9218981	35.1016697
부산	부산진구	당감동	아파트	세원수	부산 부산진구 당감동 70-5	2016-06	56	0	890		129.04859665505518	35.15809176948213
부산	동래구	온천동	아파트	동래지웰	부산 동래구 온천동 1834	2018-07	219	1136	890	신영건설	129.06276446410246	35.20830713428857
부산	남구	대연동	아파트	대연SK뷰힐스2단지	부산 남구 대연동 1909	2019-08	180	1217	890	에스케이건설주식회사	129.0955231451463	35.13585711411213
부산	기장군	기장읍	아파트	웨이브리즈	부산 기장군 기장읍 청강리 868	2022-08	728	1081	890	금호산업(주)	129.2218354	35.2329586
부산	부산진구	연지동	아파트	연지삼정그린코아	부산 부산진구 연지동 192-9	2016-05	96	0	885	(주)두잉건설	129.05224391730903	35.17059447995799
대구	북구	칠성동2가	아파트	대구역유림노르웨이숲	대구 북구 칠성동2가 736	2017-11	368	1064	884	(주)유림 E&C	128.59318423798928	35.87704462330839
부산	사하구	장림동	아파트	봉화산역사하베스티움	부산 사하구 장림동 340-8	2017-12	259	1023	883	(주)동부토건	128.97568639327835	35.0801387314915
부산	사하구	괴정동	아파트	괴정협성휴포레	부산 사하구 괴정동 952-1	2016-05	418	1386	882	(주)협성건설	128.9931598587102	35.09788313234127
대구	남구	대명동	아파트	드림팰리스	대구 남구 대명동 1623-14	2016-07	36	0	882	(주)강토	128.566945492035	35.83965650272575
부산	남구	문현동	아파트	스카이빌리지	부산 남구 문현동 474-6	2015-08	66	0	879	(주)벽진종합건설	129.06766400940336	35.14179013087007
부산	강서구	명지동	아파트	명지더웨스턴	부산 강서구 명지동 3399	2018-06	1201	1318	879	대방건설	128.91364234850082	35.09739388115918
대구	군위군	군위읍	아파트	골든렉시움	대구 군위군 군위읍 동부리 381	2018-06	72	857	878	(주)전진토건	128.57076518383988	36.23735323222811
부산	강서구	명지동	아파트	명지금강펜테리움센트럴파크1차	부산 강서구 명지동 3354	2015-07	850	1273	876	(주)금강주택	128.9191731872099	35.10038626760635
부산	북구	만덕동	아파트	더래디언트금정산	부산 북구 만덕동 960	2019-10	1677	1274	866		129.03547921676238	35.21555031974357
대구	수성구	파동	아파트	수성아이파크	대구 수성구 파동 1000	2016-10	455	979	861	현대산업개발(주)	128.61851922059572	35.81345912565138
대구	북구	읍내동	아파트	강북태왕아너스더퍼스트	대구 북구 읍내동 1452	2021-08	234	842	855	(주)태왕	128.55213	35.943445
부산	남구	문현동	아파트	문현범양레우스	부산 남구 문현동 1232	2017-05	224	1114	853	범양건영(주)	129.06953847473673	35.14757737288819
